Blues Singers - Biographies of 50 Legendary Artists of The Early 20th Century,David Dicaire,35.95,9780786406067,MRB,1999
Architectural Acoustics,Christopher N. Brooks,35.95,9780786413980,MRB,2002
Broadway Musicals - A Hundred Year History,David H. Lewis,44.95,9780786412693,MRB,2002
Radio Crime Fighters - Over 300 Programs From The Golden Age,Jim Cox,49.5,9780786413904,MRB,2002
African American Concert Singers Before 1950,Darryl Glenn Nettles,44.95,9780786414673,MRB,2003
Coon - Sanders Nighthawks - The Band That Made Radio Famous,Fred W. Edmiston,58.5,9780786413409,MRB,2003
Death Metal Music - The Passion And Politics of A Subculture,Natalie J. Purcell,35.95,9780786415854,MRB,2003
Hummert's Radio Factory - The Programs And Personalities of Broadcasting's Most Prolific Producers,Jim Cox,35.95,9780786416318,MRB,2003
Music of Emily Dickinson's Poems and Letters: A Study of Imagery and Form,Carolyn Lindley Cooley,35.95,9780786414918,MRB,2003
Start & Run Your Own Record Label - Updated & Expanded Edition,Daylle Deanna Schwartz,12.95,0823084337,MRB,2003
Who - A Who's Who,Richard Bogovich & Cheryl Posner,30.95,9780786415694,MRB,2003
American Film Musical Themes And Forms,Michael Dunne,44.95,9780786418770,MRB,2004
American Opera Singers And Their Recordings,Clyde T. McCants,66.95,9780786419524,MRB,2004
Confederate Sheet Music,E. Lawrence Abel,85.5,9780786415076,MRB,2004
Manipulating The Ether - The Power of Broadcast Radio In Thirties America,Robert J. Brown,39.95,9780786420667,MRB,2004
String Bands In The North Carolina Piedmont,Bob Carlin,35.95,9780786418268,MRB,2004
Album: Classic Sleeve Design,Nick de Ville,24.95,1845331303,MRB,2005
Art of Digital Music,David Battino & Kelli Richards,19.95,0879308303,MRB,2005
Beach Boys,Keith Badman,19.95,0879308184,MRB,2005
Beatles - 365 Days,Simon Wells,19.95,0810959119,MRB,2005
Beatles - After The Break-Up: In Their Own Words,David Bennahum,4.95,0711925585,MRB,2005
Beatles - Diary: An Intimate Day By Day History (Oversized Edition),Barry Miles,24.95,0711963150,MRB,2005
Beatles - Quarrymen,Hunter Davies,-4.95,071198526X,MRB,2005
Beatles - Ticket To Ride: Inside The Beatles' 1964 Tour That Changed The World,Larry Kane,5.95,014303426X,MRB,2005
Beatles - Unseen Archives,Tim Hill & Marie Clayton,17.95,0752583697,MRB,2005
Billboard Book of Number One Albums,Craig Rosen,7.95,0823075869,MRB,2005
Billboard Book of Top 40 R&B and Hip-Hop Hits,Joel Whitburn,22.95,0823082830,MRB,2005
Billboard Guide To Progressive Music,Bradley Smith,1.99,0823176652,MRB,2005
Billboard's Music And Video Yearbook: 1987,Joel Whitburn,24,0898200652,MRB,2005
Billboard's Music And Video Yearbook: 1991,Joel Whitburn,24,0898200814,MRB,2005
Billboard's Music Yearbook: 1985,Joel Whitburn,24,0898200571,MRB,2005
Billboard's Music Yearbook: 1986,Joel Whitburn,24,0898200636,MRB,2005
Billboard's Music Yearbook: 1993,Joel Whitburn,24,0898201020,MRB,2005
Billboard's Music Yearbook: 1995,Joel Whitburn,26,0898201160,MRB,2005
Billboard's Music Yearbook: 1998,Joel Whitburn,25.5,0898201314,MRB,2005
Billboard's Music Yearbook: 1999,Joel Whitburn,26.95,0898201381,MRB,2005
Billboard's Rock Tracks (Album Rock 1981 To 1995 / Modern Rock 1988 To 1995),Joel Whitburn,25,0898201144,MRB,2005
Billboard's This Business of Music,Shemel Krasilovsky,4.95,0823077063,MRB,2005
Billboard's Top Pop Album Tracks: 1993 To 1996,Joel Whitburn,11,0898201187,MRB,2005
Boyz II Men (Us II You),David Cohen,3.95,0006492487,MRB,2005
Chaka! Through The Fire,Chaka Khan & Tonya Bolden,4.95,0312319258,MRB,2005
Clash,Paul Du Noyer (Introduction),4.95,0312179391,MRB,2005
Clash - Complete Guide To Their Music,Tony Fletcher,4.95,184449506X,MRB,2005
Clash - Return of The Last Gang In Town,Marcus Gray,14.95,063408240X,MRB,2005
Country Music Changed My Life,Ken Burke,14.95,1556525389,MRB,2005
Cream,Chris Welch,12.95,0879306246,MRB,2005
Death Discs,Alan Clayson,6.95,1860741959,MRB,2005
Doors - Light My Fire: My Life With The Doors,Ray Manzarek,4.95,0425170454,MRB,2005
Eight Miles High - Folk-Rock's Flight From Haight-Asbury To Woodstock,Richie Unterberger,14.95,0879307439,MRB,2005
Fifty Greatest Jazz Piano Players of All Time,Gene Rizzo,16.95,0634074164,MRB,2005
Goldmine Comedy Record Price Guide,Ronald L. Smith,2.95,0873414446,MRB,2005
Goldmine Price Guide To 45 RPM Records (4th Edition),Tim Neely,16.95,0873496302,MRB,2005
Goldmine Price Guide To Rock 'N' Roll Memorabilia,Mark Allen Baker,7.95,087341490X,MRB,2005
History of the Cavalcade of America,Martin Grams Jr.,19.95,0739201387,MRB,2005
Hits Just Keep on Coming - History of Top 40 Radio,Ben Fong-Torres,12.95,0879306645,MRB,2005
I Love a Mystery Companion,Martin Grams Jr.,19.95,0970331053,MRB,2005
